scope,seq,group,source_folder,ordinal,member,neutral_file,top,path,status,result,verification_mode,notes
offset60_65_ordinals61_70,1,1,one_shot_percussive_sounds/1,61,one_shot_percussive_sounds/1/13865.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00061.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,6,2,one_shot_percussive_sounds/2,61,one_shot_percussive_sounds/2/102178.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00061.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,11,3,one_shot_percussive_sounds/3,61,one_shot_percussive_sounds/3/143500.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00061.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,16,4,one_shot_percussive_sounds/4,61,one_shot_percussive_sounds/4/203205.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00061.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,21,5,one_shot_percussive_sounds/5,61,one_shot_percussive_sounds/5/430307.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00061.wav,Drums,Drums/Toms/Generic Tom/One Shots,strong_consensus,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,2,1,one_shot_percussive_sounds/1,62,one_shot_percussive_sounds/1/13871.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00062.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,7,2,one_shot_percussive_sounds/2,62,one_shot_percussive_sounds/2/102179.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00062.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,12,3,one_shot_percussive_sounds/3,62,one_shot_percussive_sounds/3/143501.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00062.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,17,4,one_shot_percussive_sounds/4,62,one_shot_percussive_sounds/4/203206.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00062.wav,FX,FX/Hybrid Designed FX,final_clean_tonal_non_drum_hit_fx_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,22,5,one_shot_percussive_sounds/5,62,one_shot_percussive_sounds/5/430519.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00062.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,3,1,one_shot_percussive_sounds/1,63,one_shot_percussive_sounds/1/13872.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00063.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,8,2,one_shot_percussive_sounds/2,63,one_shot_percussive_sounds/2/102180.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00063.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,13,3,one_shot_percussive_sounds/3,63,one_shot_percussive_sounds/3/143502.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00063.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,18,4,one_shot_percussive_sounds/4,63,one_shot_percussive_sounds/4/203207.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00063.wav,Drums,Drums/Percussion/Generic Percussion/One Shots,final_protected_percussive_parent_release,PASS,slice_csv_or_direct_current_patch,fixed_rerun_after_v31166_patch
offset60_65_ordinals61_70,23,5,one_shot_percussive_sounds/5,63,one_shot_percussive_sounds/5/430526.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00063.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,4,1,one_shot_percussive_sounds/1,64,one_shot_percussive_sounds/1/13878.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00064.wav,FX,FX/Hybrid Designed FX,final_measured_sub_impact_hit_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,9,2,one_shot_percussive_sounds/2,64,one_shot_percussive_sounds/2/102181.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00064.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,14,3,one_shot_percussive_sounds/3,64,one_shot_percussive_sounds/3/143503.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00064.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,19,4,one_shot_percussive_sounds/4,64,one_shot_percussive_sounds/4/203209.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00064.wav,Drums,Drums/Percussion/Bells and Metallic Percussion/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,24,5,one_shot_percussive_sounds/5,64,one_shot_percussive_sounds/5/431632.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00064.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,5,1,one_shot_percussive_sounds/1,65,one_shot_percussive_sounds/1/13880.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00065.wav,Drums,Drums/Toms/Generic Tom/One Shots,percussive_one_shot_parent_firewall,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,10,2,one_shot_percussive_sounds/2,65,one_shot_percussive_sounds/2/102182.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00065.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,15,3,one_shot_percussive_sounds/3,65,one_shot_percussive_sounds/3/143504.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00065.wav,Drums,Drums/Percussion/Bells and Metallic Percussion/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,20,4,one_shot_percussive_sounds/4,65,one_shot_percussive_sounds/4/203210.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00065.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,25,5,one_shot_percussive_sounds/5,65,one_shot_percussive_sounds/5/431633.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00065.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,1,1,one_shot_percussive_sounds/1,66,one_shot_percussive_sounds/1/13882.wav,/mnt/data/perc_10pct_run/neutral_extract/g01/neutral_g01_00066.wav,Drums,Drums/Toms/Generic Tom/One Shots,final_protected_percussive_parent_release,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,6,2,one_shot_percussive_sounds/2,66,one_shot_percussive_sounds/2/102780.wav,/mnt/data/perc_10pct_run/neutral_extract/g02/neutral_g02_00066.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,11,3,one_shot_percussive_sounds/3,66,one_shot_percussive_sounds/3/143505.wav,/mnt/data/perc_10pct_run/neutral_extract/g03/neutral_g03_00066.wav,Drums,Drums/Percussion/Bells and Metallic Percussion/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,16,4,one_shot_percussive_sounds/4,66,one_shot_percussive_sounds/4/203211.wav,/mnt/data/perc_10pct_run/neutral_extract/g04/neutral_g04_00066.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
offset60_65_ordinals61_70,21,5,one_shot_percussive_sounds/5,66,one_shot_percussive_sounds/5/431634.wav,/mnt/data/perc_10pct_run/neutral_extract/g05/neutral_g05_00066.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_or_direct_current_patch,
