file_sha256,approved_label,predicted_before,predicted_after,second_after,top_similarity_after,margin_after,known_distribution_after
407ee62ca72ddf8d0855acfa90f26712e03d74e014e6a11c6a29d67d76401ff7,Instruments/Synths/Synth Pad/Loops,Instruments/Keys/Electric Piano/Loops,Instruments/Synths/Synth Pad/Loops,Instruments/Keys/Electric Piano/Loops,0.8009961691508168,0.19380149791803325,True
66a50b99a5000ed629de2e70e86fd422fb1d72e5e36bbda06f299b221a9572ac,Instruments/Synths/Synth Pad/Loops,Instruments/Synths/Synth Pad/Loops,Instruments/Synths/Synth Pad/Loops,FX/Structural and Transitional FX/Risers and Builds/Long Riser/Long FX,0.839810551634579,0.19040196465359627,True
c1fc387a1a18af327ce5a2ababd3161997ae907a9d0786faaffd78625ba18ba7,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/Long FX,Instruments/Synths/Synth Loops/Loops,0.8149209258923387,0.13633059428174055,True
23febbdcd375fdca3c7f49fa5e88c5f5dca6450c5126c1bebbe0e1a6e5518d5a,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,1.0000000362138861,0.37843213440618717,True
aa3548da62aa147c691dbfd16cce4d55439f72af6de4b6f69da1539260fd6b3f,Instruments/Woodwinds/Saxophone/Loops,Instruments/Plucked Strings/Koto/Loops,Instruments/Woodwinds/Saxophone/Loops,Instruments/Synths/Synth Pad/Loops,0.8870367846036744,0.25662817264525484,True
0422da63d1a60dbb18e78ade13d4cb39f344fb2d67922d2a2d4abab69a08c846,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Spoken Voice/One Shots,FX/Human and Voice FX/Altered Voice/Long FX,FX/Structural and Transitional FX/Risers and Builds/Long Riser/Long FX,0.7964906063274992,0.12767400314600685,True
bcdbc13e5b227a18cf074f6b9d4ecdf8e4e10a8f32c655d6e357cfafe52f82f0,FX/Human and Voice FX/Altered Voice/One Shots,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/One Shots,FX/Human and Voice FX/Spoken Voice/One Shots,1.0000000975500152,0.5279965233842613,True
f5af650b8e2fb091ba70e4b77e30da6937dbe0359f786ce7863e157b1451179a,Instruments/Woodwinds/Saxophone/Loops,Instruments/Guitar/Guitar Chords/One Shots,Instruments/Woodwinds/Saxophone/Loops,FX/Human and Voice FX/Altered Voice/Long FX,0.8870367486513417,0.4083233577650144,True
278409137ef71543d3e8a09bcb7eed5f84ecd5f877d65c54e4f3508bd1444ebf,Instruments/Bass/808 Bass/Loops,Instruments/Bass/Generic Bass/Loops,Instruments/Bass/808 Bass/Loops,Instruments/Bass/Generic Bass/Loops,1.0000000425437077,0.26308627005203744,True
d65e68bbaaa7824ba2b5d3f6d4d42080a0c385d94adc1fb2bcd4409b500acc05,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Keys/Electric Piano/Loops,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Keys/Electric Piano/Loops,0.9041532268409457,0.272257994203041,True
