file_sha256,approved_label,predicted_before,predicted_after,second_after,top_similarity_after,margin_after,known_distribution_after
407ee62ca72ddf8d0855acfa90f26712e03d74e014e6a11c6a29d67d76401ff7,Instruments/Synths/Synth Pad/Loops,Instruments/Keys/Electric Piano/Loops,Instruments/Synths/Synth Pad/Loops,Instruments/Synths/Synth Lead/Loops,0.9999999851421227,0.3630858307028112,True
dbebeb90d5b12fc80163078a2e85d879263f67564a9c9da5b133eea734e4ef2a,Instruments/Synths/Synth Pluck/Loops,Instruments/Synths/Synth Loops/Loops,Instruments/Synths/Synth Pluck/Loops,FX/Everyday Foley/Water Foley/Splash/Long FX,0.8581081630663102,0.2576616827600656,True
51fcff699b44ad0e1eccd583b31eb9dff07b71140bfb91a117e07c06afa469f8,Instruments/Bass/Synth Bass/Loops,Instruments/Synths/Synth Arp/Loops,Instruments/Bass/Synth Bass/Loops,Instruments/Synths/Synth Pluck/Loops,0.9999999957644091,0.457814263856957,True
0e446b7279c53ccf85c5cbf613241bd5c6f25a6009b0ddc82039187c5c8bc8ad,Instruments/Voice/Vocal Loops/Loops,FX/Human and Voice FX/Spoken Voice/One Shots,Instruments/Voice/Vocal Loops/Loops,FX/Human and Voice FX/Spoken Voice/One Shots,0.919710927690916,0.15632836889956658,True
afdceafb647752338685e2abc81e19728349af72d53a10d297b20c9b177fbb65,Instruments/Strings/String Loops/Loops,Instruments/Strings/String Loops/Loops,Instruments/Strings/String Loops/Loops,Instruments/Synths/Synth Loops/Loops,0.8698196770959501,0.11661445923943692,True
66a50b99a5000ed629de2e70e86fd422fb1d72e5e36bbda06f299b221a9572ac,Instruments/Synths/Synth Pad/Loops,Instruments/Synths/Synth Pad/Loops,Instruments/Synths/Synth Pad/Loops,Instruments/Keys/Rhodes/One Shots,0.8195458951253066,0.14850538754321663,True
63bbe04ddca0833670843e1d92c048ff1e4575cf2ac5874de0ee4cafa6f5d597,Instruments/Keys/Wurlitzer/Loops,Instruments/Keys/Electric Piano/Loops,Instruments/Keys/Wurlitzer/Loops,Instruments/Keys/Rhodes/Loops,0.999999970049928,0.16337107399645845,True
429bfe56bfd5934012f22d4bade9314a1925974a629bcd0aeb8a1392d85d3c88,FX/Designed Noise FX/Siren/Long FX,FX/Designed Noise FX/Siren/Long FX,FX/Designed Noise FX/Siren/Long FX,FX/Human and Voice FX/Scream/Long FX,0.8873933497986509,0.3042893937514405,True
c1fc387a1a18af327ce5a2ababd3161997ae907a9d0786faaffd78625ba18ba7,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/Long FX,Instruments/Synths/Synth Loops/Loops,0.8146406601857017,0.13605032857510357,True
bb123ae81a51b619c812ff34b9f5de53b49339cb94ddc1a2dbf659b08cdb9d32,Instruments/Synths/Synth Pluck/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,Instruments/Synths/Synth Pluck/Loops,Instruments/Synths/Synth Lead/Loops,0.8581081874482719,0.1187901682597794,True
23febbdcd375fdca3c7f49fa5e88c5f5dca6450c5126c1bebbe0e1a6e5518d5a,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,Instruments/Mixed Musical Loops/Multi Instrument/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,0.8298616921826755,0.2588609396575816,True
aa3548da62aa147c691dbfd16cce4d55439f72af6de4b6f69da1539260fd6b3f,Instruments/Woodwinds/Saxophone/Loops,Instruments/Plucked Strings/Koto/Loops,Instruments/Woodwinds/Saxophone/Loops,Instruments/Mallets and Bells/Bells and Mallets/Loops,0.8870367846036744,0.2665811290423127,True
b9332f4afe90211221334db8a2efb98896719de251754515f0e9e6754a30eb97,FX/Structural and Transitional FX/Risers and Builds/Generic Build/Long FX,FX/Structural and Transitional FX/Risers and Builds/Generic Riser/Long FX,FX/Structural and Transitional FX/Risers and Builds/Generic Build/Long FX,FX/Impacts and Hits/Boom/One Shots,0.8066975078264002,0.30482457995215584,True
0422da63d1a60dbb18e78ade13d4cb39f344fb2d67922d2a2d4abab69a08c846,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Spoken Voice/One Shots,FX/Human and Voice FX/Altered Voice/Long FX,FX/Structural and Transitional FX/Risers and Builds/Long Riser/Long FX,0.8568557131231326,0.1880391099416402,True
68b061e287bf13caeaaf8600b65809c003918ee19896c740ffb2b43ac34fdd15,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Nylon Guitar/Loops,0.9147007094462004,0.10433178167894319,True
bcdbc13e5b227a18cf074f6b9d4ecdf8e4e10a8f32c655d6e357cfafe52f82f0,FX/Human and Voice FX/Altered Voice/One Shots,FX/Human and Voice FX/Altered Voice/Long FX,FX/Human and Voice FX/Altered Voice/One Shots,FX/Human and Voice FX/Altered Voice/Long FX,0.7540741949112026,0.23542316826679677,True
6be28a5ad92d981590bf1a3b69213edc11135f0e29a199a91f4520398f529c66,Instruments/Bass/Electric Bass/Loops,Instruments/Bass/Electric Bass/Loops,Instruments/Bass/Electric Bass/Loops,Instruments/Bass/Generic Bass/Loops,0.9590068828920263,0.21834114661579507,True
cc0a64e0b96403888a228d77e1e8b31a91cc2787ef89b42b289de8e208c4d7e1,Instruments/Strings/String Loops/Loops,FX/Designed Noise FX/Siren/Long FX,FX/Designed Noise FX/Siren/Long FX,FX/Human and Voice FX/Scream/Long FX,0.8683278572997952,0.11317255893450073,True
8fff53538e9ac9fd21b04ab3be3c709785b8c6535ca495ca185193b9b1ad038c,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Acoustic Guitar/Loops,Instruments/Guitar/Nylon Guitar/Loops,0.9404634148725459,0.3703096477319774,True
f5af650b8e2fb091ba70e4b77e30da6937dbe0359f786ce7863e157b1451179a,Instruments/Woodwinds/Saxophone/Loops,Instruments/Guitar/Guitar Chords/One Shots,Instruments/Woodwinds/Saxophone/Loops,FX/Human and Voice FX/Altered Voice/Long FX,0.8870367486513417,0.391251416505483,True
