file_sha256,decoded_audio_sha256,normalized_audio_sha256,duplicate_group_id,label,source_kind
2c981159be114c4b025a7cfb2d5060158acd045487077c9cbc02c2026659af09,5a827e6d2c8efe4fccc5f0d384773d2a165f82b4bc22b0680eaa61e77ee80dba,0063555a3456a97cc25bba7351305fc17b1cd8eb195557ec019b3dfbd61fc71f,audio_group_3ae2b624e3916f615ddb,FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX,recent_gui_correction
1ca71f5a618419da743cac165d2cd7837434a610668be2ac4e6ac977a996c58a,24ed51179c50cf09be12dcba4f64321341b5d93b158d12d5f97ce108a4d6fbbd,00a7992ea868b0d2a586a2767331a1ad8ac732e1607735b722d2e7323d2b3cf2,audio_group_886a3ee3ec3a5d884552,Drums/Drum Loops/Full Drum Loops/Loops,recent_gui_correction
a07648e834d596ef04dd9f63d2ec50c472a9d677b033d89ed5a192025caa5722,7fd2d2758e649cf69df57f5267ef8bcd3274e0f0874edcdbba054b0a18d3f5f1,00b86f7a37e16199b3bbeab3b91947d4f1a28b0d8b1dfb132517fa5af726fabd,audio_group_494984201ca2fdf31531,Drums/Percussion/Generic Percussion/Loops,recent_gui_correction
d65e68bbaaa7824ba2b5d3f6d4d42080a0c385d94adc1fb2bcd4409b500acc05,4ee238c23055f9d6bcb227fbab753b6e48537bbeabcb07379af6c46e5c648b3d,01fa7cd89f729ba66da73cd2b5560cdeb75b6ede542bd8249a3edae91486d394,audio_group_5bfac3899125a08a0962,Instruments/Mixed Musical Loops/Multi Instrument/Loops,recent_gui_correction
2193e0ad0149b6c818e196019396294cbf35305238eead20b7635d3c31943a12,9b9eae9a0682c53cc0e1beb6e02bde5ab372268bbb74fc1e7eafa410a1d9a8c7,024616225d73ce28be7006256bfbda2816ae5525e7deb8ec41015b7f2f15525b,audio_group_4bb34457fa30f5a182b2,FX/Designed Noise FX/Siren/Long FX,locked_human_seed
a48020c92adb0e4eacbc0aca391543ce9da88407f34fad7aa84e99a8029325de,e73ba26808cc43d35166a765448adc81312f400a1a38fcca8723f7471f5960af,026bd4148cb5fbfef602bab4ea0e2f9c58bd2d4bf550f8de3835b6a26bde0396,audio_group_57fbf58da381dbcd098a,FX/Structural and Transitional FX/Reverses and Tails/Generic Reverse/One Shots,locked_human_seed
3c44ab097c46c0bb279b6713c9da0fe615cbb0791dd46d7a00fae8b2b21511ea,87ed585e3370cb0e8c5e9a668583087d6e44df360a1945977655df12f2b45832,02ab4295060e87388722cffc06f5590633ca93e03247399b8ddd8cdc9b08c996,audio_group_5e8da3f56fc005d35713,FX/Structural and Transitional FX/Risers and Builds/Generic Build/Long FX,recent_gui_correction
f1206f9cb54b169805e43c3be160293bd1e70814922efe8c5ea58867742a8a9a,bd9421dbca6f440e91057c6c72ed8be6275648c957ff66eebacffef7dac39494,03681f0cc7c327d3a67e9629e910415d515157a6a5ef39085df433fa89391ec6,audio_group_a7f41e91f4907db76f92,FX/Human and Voice FX/Altered Voice/Long FX,recent_gui_correction
6ee5d4b6c7d3a3ef72adf711a3d546f9a3dd41050a5fff2175be2532629ad7e9,39d9735219fa2c12382cedfc9b1d2e5a9b31730f48d4300ddab896145c6f4cb5,039b866a709ca6632d2e711205eb7b59c7c667d3d5661a480a6ef0a019203d68,audio_group_fdd1d2334815c71676d1,FX/Textures/Noise and Static/Static/Long FX,recent_gui_correction
21518d3c83e6cbab2efe418878e91cb9cf2bea0aad77311b752a5822f6496ba7,910409565a3780c4d3ba1df35cc74c21dd25173bd1456a486de47158da1798e2,03d01523e0614e8c28b59b9d1a12b7e2caec838db6fe6ce8aa1b1915c3d3f372,audio_group_4318660b0930e92a5b5e,Drums/Snares/Acoustic Snare/One Shots,locked_human_seed
